[2025-06-11 18:51:06] Score: 130, Time: 2:10, Kills: 0, Cubes: 0
[2025-06-11 18:56:17] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:57:03] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-12 18:39:59] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-12 18:40:09] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-12 18:40:19] Score: 1030, Time: 0:29, Kills: 0, Cubes: 1
[2025-06-12 18:40:29] Score: 1040, Time: 0:39, Kills: 0, Cubes: 1
[2025-06-12 18:40:39] Score: 1050, Time: 0:49, Kills: 0, Cubes: 1
[2025-06-12 18:40:49] Score: 1060, Time: 0:59, Kills: 0, Cubes: 1
[2025-06-12 19:00:50] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-12 19:01:00] Score: 19, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-12 19:01:10] Score: 29, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-12 19:01:20] Score: 39, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-12 19:01:30] Score: 49, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-12 19:01:40] Score: 59, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-12 19:01:50] Score: 69, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-12 19:02:00] Score: 79, Time: 1:19, Kills: 0, Cubes: 0
[2025-06-12 19:02:11] Score: 89, Time: 1:29, Kills: 0, Cubes: 0
[2025-06-12 19:02:21] Score: 99, Time: 1:39, Kills: 0, Cubes: 0
[2025-06-12 19:02:31] Score: 110, Time: 1:49, Kills: 0, Cubes: 0
[2025-06-12 19:02:41] Score: 120, Time: 1:59, Kills: 0, Cubes: 0
[2025-06-12 19:02:51] Score: 130, Time: 2:09, Kills: 0, Cubes: 0
[2025-06-12 19:03:01] Score: 140, Time: 2:19, Kills: 0, Cubes: 0
[2025-06-12 19:03:11] Score: 150, Time: 2:29, Kills: 0, Cubes: 0
[2025-06-12 19:03:21] Score: 160, Time: 2:39, Kills: 0, Cubes: 0
[2025-06-12 19:03:31] Score: 170, Time: 2:49, Kills: 0, Cubes: 0
